,name,address
0,Family Restaurant,"Delta St # 8, Emmonak, AK 99581, United States"
1,Emmonak Airport,"Emmonak, AK 99581, United States"
2,Grant Aviation,"Airport Rd, Emmonak, AK 99581, United States"
3,Alaska Commercial Company,"345 Main St, Emmonak, AK 99581, United States"
4,Kwik'pak Fisheries LLC,"128 Yukon Way, Emmonak, AK 99581, United States"
5,Emmonak Court,"Water Treatment Rd, Emmonak, AK 99581, United States"
6,Emmonak Tribal Council,"Emmonak, AK 99581, United States"
7,Emmonak VPSO,"Subdivision Rd, Emmonak, AK 99581, United States"
8,United States Postal Service,"9998 Kwiguk St, Emmonak, AK 99581, United States"
9,Rabideau's Clear Sky Lodge,"Parks Hwy, Clear, AK 99704, United States"
10,Alakanuk Traditional Tribal,"Alakanuk, AK 99554, United States"
